generation,provider,detector,C0,C1,C2,C3,C4,C5,C0_to_C5_reduction
Gen1,openai,production,62.7,17.6,9.7,74.0,7.5,5.3,57.3
Gen1,openai,corrected,73.0,18.7,8.9,75.5,5.4,6.4,66.5
Gen1,anthropic,production,74.0,35.5,22.1,80.0,22.6,11.3,62.7
Gen1,anthropic,corrected,79.6,35.4,18.0,81.4,19.6,13.3,66.3
Gen1,google,production,59.2,13.2,4.8,72.1,2.9,3.8,55.4
Gen1,google,corrected,69.4,14.2,5.3,73.0,2.6,5.9,63.6
Gen2,openai,production,60.3,13.7,2.9,85.6,3.6,3.3,57.1
Gen2,openai,corrected,78.5,15.4,2.5,86.1,2.4,3.8,74.7
Gen2,anthropic,production,72.4,26.2,15.2,82.6,16.3,13.3,59.1
Gen2,anthropic,corrected,77.7,22.9,8.5,83.2,11.6,10.8,66.9
Gen2,google,production,67.3,17.4,6.5,77.3,4.5,5.9,61.3
Gen2,google,corrected,77.5,18.2,4.6,78.8,4.1,6.1,71.4
