generation,mode,provider,detector,C0,C1,C2,C3,C4,C5,C0_to_C5_reduction
Gen1,standard,openai,production,62.7,17.6,9.7,74.0,7.5,5.3,57.3
Gen1,standard,openai,corrected,73.0,18.7,8.9,75.5,5.4,6.4,66.5
Gen1,standard,anthropic,production,74.0,35.5,22.1,80.0,22.6,11.3,62.7
Gen1,standard,anthropic,corrected,79.6,35.4,18.0,81.4,19.6,13.3,66.3
Gen1,standard,google,production,59.2,13.2,4.8,72.1,2.9,3.8,55.4
Gen1,standard,google,corrected,69.4,14.2,5.3,73.0,2.6,5.9,63.6
Gen2,standard,openai,production,60.3,13.7,2.9,85.6,3.6,3.3,57.1
Gen2,standard,openai,corrected,78.5,15.4,2.5,86.1,2.4,3.8,74.7
Gen2,standard,anthropic,production,72.4,26.2,15.2,82.6,16.3,13.3,59.1
Gen2,standard,anthropic,corrected,77.7,22.9,8.5,83.2,11.6,10.8,66.9
Gen2,standard,google,production,67.3,17.4,6.5,77.3,4.5,5.9,61.3
Gen2,standard,google,corrected,77.5,18.2,4.6,78.8,4.1,6.1,71.4
# --- thinking-mode rows (C1/C2/C4 not run in thinking mode; blank cells) ---
Gen1,thinking,openai,production,72.3,,,,,6.6,65.6
Gen1,thinking,openai,corrected,83.0,,,,,7.6,75.4
Gen1,thinking,anthropic,production,73.6,,,,,11.3,62.3
Gen1,thinking,anthropic,corrected,79.1,,,,,13.4,65.7
Gen1,thinking,google,production,64.5,,,,,5.5,59.0
Gen1,thinking,google,corrected,73.9,,,,,6.4,67.5
Gen2,thinking,openai,production,61.8,,,86.3,,3.3,58.5
Gen2,thinking,openai,corrected,81.3,,,86.7,,3.6,77.8
Gen2,thinking,anthropic,production,72.3,,,83.9,,14.9,57.4
Gen2,thinking,anthropic,corrected,78.2,,,84.6,,11.8,66.4
Gen2,thinking,google,production,69.1,,,78.7,,5.2,63.9
Gen2,thinking,google,corrected,78.6,,,80.1,,5.1,73.5
