ID,ToolName,Category,Notes
1,LTspice,,
2,Saturn,,
3,Altium,,
4,Temperature Rise Calculator,,
5,PSpice,,
6,Fusion,,
7,Micron,,
8,SolidWorks,,
9,JLCPCB,,
10,FEMM,,
11,Skottans,,
12,LTSpice,,
13,Sierra Circuits,,
14,Practical,,
15,Layer,,
16,ANSYS Maxwell,,
17,Gerber,,
18,Recommended,,
19,Use Saturn PCB Toolkit,,
20,Complementary Tools,,
21,KiCad Calculator,,
22,Design,,
23,TI WEBENCH,,
24,PLECS,,
25,PSIM,,
26,Cadence Allegro,,
27,Comprehensive,,
28,KiCad PCB Calculator,,
29,Autodesk Fusion,,
30,SPICE,,
31,Field Solver,,
32,Stage,,
33,Your,,
34,COMSOL,,
35,Circuit Digest Calculator,,
36,Cadence Sigrity,,
37,WEBENCH Power Designer,,
38,Magnetics Designer,,
39,Weeks,,
40,Thermal,,
41,Polar Si9000,,
42,CST Studio,,
43,Score,,
44,MATLAB/Simulink,,
45,EasyEDA PCB Editor,,
46,Keysight ADS,,
47,Mentor Graphics,,
48,WEBDESIGNER,,
49,Why Saturn PCB Toolkit,,
50,Technick,,
51,Quite Universal Circuit Simulator,,
52,KiCad PCB Editor,,
53,AutoCAD,,
54,HyperLynx,,
55,Extensive,,
56,QUCS,,
57,Logic Analyzer,,
58,PCB Calculator,,
59,EasyEDA Schematic,,
60,Schematic Editor,,
61,Ansys Maxwell,,
62,Direct,,
63,Spreadsheet,,
64,Ansys Icepak,,
65,KiCad Schematic Editor,,
66,Stackup,,
67,Avoid,,
68,PSPICE,,
69,PCB Editor,,
70,Full,,
71,Generate,,
72,EMCLAB,,
73,KiCad Gerber Viewer,,
74,Analog Devices,,
75,PCBWay,,
76,Polar Si9000e,,
77,Strata Developer Studio,,
78,Advanced,,
79,Simbeor,,
80,PCB CAD,,
81,Power Stage Designer,,
82,Getting Started,,
83,Phases,,
84,Power Analyzer,,
85,Integrated,,
86,TI Power Stage Designer,,
87,Download,,
88,Bode,,
89,Tier,,
90,Budget,,
91,CISPR,,
92,Falstad,,
93,EasyEDA 3D Viewer,,
94,Steps,,
95,Month,,
96,Complementary Calculator,,
97,FreeCAD,,
98,ngspice,,
99,Power Designer,,
100,WebDesigner+,,
101,Cadence OrCAD,,
102,Target,,
103,EEWeb Calculator,,
104,Arbitrary Transmission Line Calculator,,
105,PDN Analyzer,,
106,Order,,
107,Complete,,
108,Export,,
109,Qucs-S,,
110,KiCad / Altium,,
111,Simple,,
112,Verification,,
113,Seamless,,
114,Seeed Studio,,
115,Panel,,
116,AppCAD,,
117,SIMPLIS,,
118,Altair Flux,,
119,Impedance,,
120,Mixed-Signal,,
121,EEWeb Microstrip Calculator,,
122,Vector Network Analyzer,,
123,Spend,,
124,PCB Toolkit,,
125,Ansys HFSS,,
126,OpenEMS,,
127,Strong,,
128,Expect,,
129,Apply,,
130,Atlc,,
131,Use EasyEDA Pro,,
132,Windows,,
133,TI Thermal Calculator,,
134,Texas Instruments WEBENCH,,
135,STAGE,,
136,Inner,,
137,Multisim,,
138,EasyEDA Simulator,,
139,Footprint Editor,,
140,Simulation,,
141,Spectrum Analyzer,,
142,SMPS,,
143,QuickField,,
144,onsemi Design Tools,,
145,Over,,
146,Consider,,
147,ON Semiconductor WebDesigner,,
148,SIMetrix/SIMPLIS,,
149,MagNet,,
150,OpenModelica,,
151,ON Semiconductor Power Supply Designer (PSD),,
152,Content Manager,,
153,Manufacturing,,
154,EasyEDA Gerber Viewer,,
155,EasyEDA + JLCPCB,,
156,Ansys SIwave,,
157,Compare,,
158,PCB Design Software,,
159,Suggested,,
160,Documentation,,
161,Infineon IPOSIM,,
162,Print,,
163,Minimum,,
164,FABRICATION,,
165,Linux,,
166,SimScale,,
167,Using,,
168,Define,,
169,Keep,,
170,OrCAD PCB,,
171,Fritzing,,
172,Git,,
173,KiCad EDA Suite,,
174,Sonnet,,
175,OrCAD PSpice,,
176,Power Supply WebDesigner,,
177,Cadence PSpice,,
178,Students,,
179,Open Saturn PCB Toolkit,,
180,Calculate,,
181,Typically,,
182,EasyEDA SPICE,,
183,OSH Park,,
184,Via Calculator,,
185,Rich,,
186,Megabyte Circuit,,
187,TI Calculator,,
188,Current,,
189,Digi-Key Calculator,,
190,TRAN Pout AVG,,
191,Efficiency,,
192,FCC Part,,
193,Broad,,
194,Key Practical Tips,,
195,Excel,,
196,TINA-TI,,
197,EasyEDA BOM Manager,,
