ID,ToolName,Rater1_Category,Rater2_Category,Final_Category
1,LTspice,H2,H2,H2
2,Saturn,Near-miss,Near-miss,Near-miss
3,Altium,H2,H2,H2
4,Temperature Rise Calculator,Near-miss,Non-specific,Near-miss
5,PSpice,H2,H2,H2
6,Fusion,H2,H2,H2
7,Micron,Near-miss,H2,Near-miss
8,SolidWorks,H2,H2,H2
9,JLCPCB,H2,H2,H2
10,FEMM,H2,H2,H2
11,Skottans,Near-miss,Near-miss,Near-miss
12,LTSpice,H2,H2,H2
13,Sierra Circuits,Near-miss,Near-miss,Near-miss
14,Practical,Non-specific,Non-specific,Non-specific
15,Layer,Non-specific,Non-specific,Non-specific
16,ANSYS Maxwell,H2,H2,H2
17,Gerber,Non-specific,Non-specific,Non-specific
18,Recommended,Non-specific,Non-specific,Non-specific
19,Use Saturn PCB Toolkit,Near-miss,Near-miss,Near-miss
20,Complementary Tools,Non-specific,Non-specific,Non-specific
21,KiCad Calculator,Near-miss,Near-miss,Near-miss
22,Design,Non-specific,Non-specific,Non-specific
23,TI WEBENCH,Near-miss,Near-miss,Near-miss
24,PLECS,H2,H2,H2
25,PSIM,H2,H2,H2
26,Cadence Allegro,H2,H2,H2
27,Comprehensive,Non-specific,Non-specific,Non-specific
28,KiCad PCB Calculator,Near-miss,Near-miss,Near-miss
29,Autodesk Fusion,H2,H2,H2
30,SPICE,Non-specific,Non-specific,Non-specific
31,Field Solver,Non-specific,Non-specific,Non-specific
32,Stage,Non-specific,Non-specific,Non-specific
33,Your,Non-specific,Non-specific,Non-specific
34,COMSOL,H2,H2,H2
35,Circuit Digest Calculator,Near-miss,Near-miss,Near-miss
36,Cadence Sigrity,H2,H2,H2
37,WEBENCH Power Designer,H2,Near-miss,Near-miss
38,Magnetics Designer,H2,H2,H2
39,Weeks,Non-specific,Non-specific,Non-specific
40,Thermal,Non-specific,Non-specific,Non-specific
41,Polar Si9000,H2,H2,H2
42,CST Studio,H2,H2,H2
43,Score,Non-specific,Non-specific,Non-specific
44,MATLAB/Simulink,H2,H2,H2
45,EasyEDA PCB Editor,H2,Near-miss,Near-miss
46,Keysight ADS,H2,H2,H2
47,Mentor Graphics,H2,H2,H2
48,WEBDESIGNER,H2,Non-specific,Near-miss
49,Why Saturn PCB Toolkit,Near-miss,Near-miss,Near-miss
50,Technick,Near-miss,Near-miss,Near-miss
51,Quite Universal Circuit Simulator,H2,H2,H2
52,KiCad PCB Editor,Near-miss,Near-miss,Near-miss
53,AutoCAD,H2,H2,H2
54,HyperLynx,H2,H2,H2
55,Extensive,Non-specific,Non-specific,Non-specific
56,QUCS,H2,H2,H2
57,Logic Analyzer,Non-specific,Non-specific,Non-specific
58,PCB Calculator,Near-miss,Near-miss,Near-miss
59,EasyEDA Schematic,H2,Near-miss,Near-miss
60,Schematic Editor,Non-specific,Non-specific,Non-specific
61,Ansys Maxwell,H2,H2,H2
62,Direct,Non-specific,Non-specific,Non-specific
63,Spreadsheet,Non-specific,Non-specific,Non-specific
64,Ansys Icepak,H2,H2,H2
65,KiCad Schematic Editor,Near-miss,Near-miss,Near-miss
66,Stackup,Non-specific,Near-miss,Near-miss
67,Avoid,Non-specific,Non-specific,Non-specific
68,PSPICE,H2,H2,H2
69,PCB Editor,Non-specific,Non-specific,Non-specific
70,Full,Non-specific,Non-specific,Non-specific
71,Generate,Non-specific,Non-specific,Non-specific
72,EMCLAB,Near-miss,Near-miss,Near-miss
73,KiCad Gerber Viewer,Near-miss,Near-miss,Near-miss
74,Analog Devices,H2,H2,H2
75,PCBWay,H2,H2,H2
76,Polar Si9000e,H2,H2,H2
77,Strata Developer Studio,H2,Near-miss,H2
78,Advanced,Non-specific,Non-specific,Non-specific
79,Simbeor,H2,H2,H2
80,PCB CAD,Non-specific,Non-specific,Non-specific
81,Power Stage Designer,H2,Near-miss,Near-miss
82,Getting Started,Non-specific,Non-specific,Non-specific
83,Phases,Non-specific,Non-specific,Non-specific
84,Power Analyzer,Non-specific,Non-specific,Non-specific
85,Integrated,Non-specific,Non-specific,Non-specific
86,TI Power Stage Designer,H2,Near-miss,Near-miss
87,Download,Non-specific,Non-specific,Non-specific
88,Bode,Non-specific,Non-specific,Non-specific
89,Tier,Non-specific,Non-specific,Non-specific
90,Budget,Non-specific,Non-specific,Non-specific
91,CISPR,Non-specific,Non-specific,Non-specific
92,Falstad,H2,H2,H2
93,EasyEDA 3D Viewer,H2,Near-miss,Near-miss
94,Steps,Non-specific,Non-specific,Non-specific
95,Month,Non-specific,Non-specific,Non-specific
96,Complementary Calculator,Near-miss,Non-specific,Non-specific
97,FreeCAD,H2,H2,H2
98,ngspice,H2,H2,H2
99,Power Designer,Non-specific,Near-miss,Near-miss
100,WebDesigner+,H2,Non-specific,Near-miss
101,Cadence OrCAD,H2,H2,H2
102,Target,Non-specific,Non-specific,Non-specific
103,EEWeb Calculator,Near-miss,H2,Near-miss
104,Arbitrary Transmission Line Calculator,Near-miss,H2,H2
105,PDN Analyzer,Near-miss,H2,H2
106,Order,Non-specific,Non-specific,Non-specific
