Rank,ConsolidatedName,Category,TotalMentions,C0_Mentions,C5_Mentions,Evidence,EvidenceURL,Ambiguous
1,LTspice,H2,3859,1896,426,Analog Devices (formerly Linear Technology) SPICE simulator,https://www.analog.com/en/resources/design-tools-and-calculators/ltspice-simulator.html,0
2,Saturn,Near-miss,1111,521,34,DB: Saturn PCB Design Toolkit,,0
3,Altium,H2,903,424,11,Altium Designer - commercial PCB design suite,https://www.altium.com/altium-designer,0
4,Temperature Rise Calculator,Near-miss,745,1,324,"DB: Sierra Circuits Trace Width, Current Capacity, and Temperature Rise Calculator",,0
5,PSpice,H2,630,322,102,Cadence Design Systems SPICE simulator,https://www.pspice.com/,0
6,Fusion,H2,615,385,25,Autodesk Fusion 360 - CAD/electronics platform,https://www.autodesk.com/products/fusion-360,1
7,Micron,Near-miss,319,0,92,DB: Micron 20 PCB Production Calculator,,0
8,SolidWorks,H2,250,151,1,Dassault Systemes - 3D CAD with simulation,https://www.solidworks.com/,0
9,JLCPCB,H2,225,61,0,PCB manufacturer with online design tools/calculators,https://jlcpcb.com/,0
10,FEMM,H2,215,20,0,Finite Element Method Magnetics - open-source FEA,https://www.femm.info/,0
11,Skottans,Near-miss,212,59,7,DB: Skottans Elektronik Impedance Calculator,,0
12,LTSpice,H2,169,51,84,LTspice variant capitalization,https://www.analog.com/en/resources/design-tools-and-calculators/ltspice-simulator.html,0
13,Sierra Circuits,Near-miss,152,16,9,DB: Sierra Circuits Trace Width... Calculator,,0
14,Practical,Non-specific,132,25,0,JSON response fragment (Practical Tips),,0
15,Layer,Non-specific,126,63,6,Feature/term (Layer Stack Manager),,0
16,ANSYS Maxwell,H2,120,0,0,Ansys electromagnetic simulation software,https://www.ansys.com/products/electronics/ansys-maxwell,0
17,Gerber,Non-specific,115,76,0,File format name (Gerber format),,0
18,Recommended,Non-specific,103,51,3,Response structure word,,0
19,Use Saturn PCB Toolkit,Near-miss,100,39,4,Sentence fragment referencing DB: Saturn PCB Design Toolkit,,0
20,Complementary Tools,Non-specific,98,55,0,Response structure phrase,,0
21,KiCad Calculator,Near-miss,97,33,0,DB: KiCad (extended with Calculator),,0
22,Design,Non-specific,93,44,1,Generic word from responses,,0
23,TI WEBENCH,Near-miss,93,31,0,DB: WEBENCH (TI),,0
24,PLECS,H2,91,3,0,Plexim - power electronics circuit simulation,https://www.plexim.com/plecs,0
25,PSIM,H2,91,1,0,Powersim Inc. - power electronics simulation,https://powersimtech.com/,0
26,Cadence Allegro,H2,89,52,0,Cadence PCB design and layout tool,https://www.cadence.com/en_US/home/tools/pcb-design-and-analysis/pcb-layout/allegro-pcb-designer.html,0
27,Comprehensive,Non-specific,87,13,60,Adjective from responses,,0
28,KiCad PCB Calculator,Near-miss,86,49,0,DB: KiCad (extended with PCB Calculator),,0
29,Autodesk Fusion,H2,84,46,6,Autodesk Fusion 360 variant name,https://www.autodesk.com/products/fusion-360,0
30,SPICE,Non-specific,79,26,0,Simulation methodology name (not specific tool),,1
31,Field Solver,Non-specific,78,67,0,Generic tool class name,,0
32,Stage,Non-specific,76,42,0,Generic word / JSON workflow phase,,0
33,Your,Non-specific,74,27,0,Pronoun from response text,,0
34,COMSOL,H2,70,0,0,COMSOL Multiphysics - FEA simulation platform,https://www.comsol.com/,0
35,Circuit Digest Calculator,Near-miss,68,3,5,DB: Circuit Digest PCB Trace Width Calculator,,0
36,Cadence Sigrity,H2,68,47,0,Cadence signal/power integrity analysis,https://www.cadence.com/en_US/home/tools/pcb-design-and-analysis/si-pi-analysis.html,0
